Text,Emotion,Temiz_Text
"?? Boğaziçi Üniversitesi mezunları, Kayyım rektörü istifaya çağırdı Boğaziçi Üniversitesi mezunları, 5 bin imza ile Melih Bulu'yu istifaya çağırdı https://t.co/DmLlcvaOcp https://t.co/BsK7I9XzL4",Neutral,boğaziçi üniversitesi mezun kayyım rektör istifa çağırmak boğaziçi üniversitesi mezun bin imza melih bul yu istifa çağırmak
Kötü görüntü ve kokulardan tiksinirim.,Disgust,kötü görüntü koku tiksinmek
Evde yalnızken sanki beni biri kovalıyor ve korkuyorum.,Fear,ev yalnız kovalamak korkmak
Fenerbahçe şampiyonluğu kaçırınca.,Sadness,fenerbahçe şampiyon kaçırmak
Matematiksel ürün güzel ve iyi bir çizgiye sahip. Atom numarası 53 yapışkan olmadığı için bilgi teknolojisini iade etmek zorunda. Açıklamada bilgi teknolojisini belirtirseniz satın almak kolay olurdu.,Neutral,matematik ürün güzel iyi çizgi sahip atom numara yapışkan olmak bilgi teknoloji iade etmek zor açıklamak bilgi teknoloji belirmek satmak almak kolay olurdu
Bir arkadaşımla küstüğüm zaman üzülürüm.Birinin kalbini kırdığım zaman ve düşük not aldığımda.,Sadness,arkadaş küsmek zaman üzülürüm biri kalp kırmak zaman düşük not aldığımda
Eski resimleri görünce mutlu olurum.,Happy,eski resim görmek mutlu olurum
"""John Snow'ın"" ölmesine üzüldüm.",Sadness,john snow ın ölmek üzüldüm
"""Dabbe 3"" filmini izledikten sonra.",Fear,dabbe film izlemek sonra
"""TEOG"" sınavına girerken korkmuştum.",Fear,teog sınav girmek korkmak
Araba kazası geçirmek.,Fear,araba kaza geçirmek
"""Hareketli resim gösterisini izlemeye başladığınızda beklentilerinizi yüksek tutmayın.""",Neutral,hareket resim gösteri izlemek başlamak beklenti yüksek tutmak
Önemsiz konuları kafamda büyüttüğüm zaman.,Sadness,önem konu kafa büyütmek zaman
Ağız şapırdatan birisini görmek.,Disgust,ağız şapırdamak biri görmek
"Adana'da oğlumun yanında misafirdim. Bir gün göğsümde bir sıkıntı,nefes alamıyorum. Acilen kardiyolojiye götürdüler, muayeneden sonra anjiyo olacaksın dediler. Gün verdiler. Anjiyo için hastaneye yattık. Beni sedyeye koydular haydi aşağıya aldılar. Benden önce bir hasta varmış,beni beklettiler. O sekiz on dakika bana yıllar gibi geldi. O an öleceğimi bile düşündüm.Çok korkmuştum.",Fear,adana oğlumun yan misafir gün göğüs sıkıntı nefes alamıyorum acilen kardiyoloji götürmek muayene sonra anjiyo olacaksın dediler gün vermek anjiyo hastane yatmak sedye koymak haydi aşağı aldılar önce hasta varmak beklemek sekiz on dakika yıl gelmek an öleceğimi bile düşünmek çok korkmak
Sevmediğim insanlarla aynı ortamda bulunmak.,Sadness,sevmek insan aynı ortam bulunmak
Gece sokağa çıktığım her gün korkuyorum,Fear,gece sokak çıkmak gün korkmak
vefat eden anneannemi hatırladıkça kötü oluyorum.,Sadness,vefat eden anneanne hatırlamak kötü oluyorum
"
      temiz olmayan bir oda beni tiksindirir.
      tiksinmek için bana temiz olmayan her şeyi kapsayabilir.
    ",Disgust,temiz olmak oda tiksinmek tiksinmek temiz olmak şey kapsamak
"Her zaman hastane ortamı beni biraz gerer. Tam anlamıyla korku değil ama hep işlemlerin daha uzaması, ek tahlil vs çıkabilecek bir yer olmasından kaynaklanıyor sanırım.",Fear,zaman hastane ortam germek tam anlam korku değil hep işlem uzamak ek tahlil vs çıkmak yer olmak kaynaklamak sanmak
kaza yapan insanları görünce üzüntüden ağladım.,Sadness,kaza yapmak insan görmek üzüntü ağlamak
Yaptığım işlerin takdir görmesi.,Happy,yapmak iş takdir görmek
Çikolata yemediğim zaman.,Sadness,çikolata yemediğim zaman
Bir suikast anının redaksiyon sinematografi ve kamera açılarıyla nefes kesici bir şekilde yakalanması. Olayın öneminin farklı vatandaşların anlatımıyla gösterilmesi de çok iyi olurdu. Ancak film bundan sonra biraz sıkıcı hale geliyor.,Neutral,suikast an redaksiyon sinematografi kamera açı nefes kesmek şekil yakalamak olay önem fark vatandaş anlatım göstermek çok iyi olurdu film bu sonra sıkıcı hal gelmek
Ani yapılan sınavlara.,Anger,ani yapmak sınav
Başarılı olamamak ve kaybetmek.,Sadness,başarı olamamak kaybetmek
Öğretmenlerin kolay soru soracağım deyip zor sorular sormasına sinirleniyorum.,Anger,öğretmen kolay soru sormak deyip zor soru sormak sinirlenmek
"""Altın rengini seçtim ama bronz geldi ve bilişim teknolojisini iade edeceğim. Parça olarak da geldi. Her şeye baktım ve Ane kendim nasıl monte edeceğimi bilmiyorum. Paketleme ve kargolama iyiydi. Ürün resimden biraz küçük ama ürünü satın alacakların bilgisi için fiyat - uygulama ürünüdür.""",Neutral,altın renk seçmek bronz gelmek bilmek teknoloji iade edeceğim parça olarak gelmek şey bakmak ane kendi monte edeceğimi bilmek paketlemek kargolama iyi ürün resim küçük ürün satmak alacak bilgi fiyat uygulamak ürün
Bana yalan söylendiğini anladığım zaman.,Anger,yalan söylemek anlamak zaman
Köpeklerden.,Fear,köpek
Arkadaşlarımla takılırken mutluyum.,Happy,arkadaş takılmak mutlu
"Padişahın günlük dinlenme mekânı olan köşkler, aynı zamanda diplomatik misafirlerin ağırlandığı yerler olarak da önem taşıyordu.",Neutral,padişah günlük dinlenmek mek nı olan köşk aynı zaman diplomatik misafir ağırlamak yer olarak önem taşımak
Farelerden.,Fear,fare
Kusmuk görmek.,Disgust,kusmuk görmek
Matematikten yüksek beklerken düşük aldığımda.,Sadness,matematik yüksek beklemek düşük aldığımda
"1894 yılındaki depremde büyük ölçüde zarar gören fabrika, aynı yıl içinde İtalyan Mimar Raimondo D’Aronco’ya yeniden yaptırılmıştır.",Neutral,yıl deprem büyük ölçü zarar görmek fabrika aynı yıl iç italyan mimar raimondo aronco yeniden yapmak
İnsanların ilginç hayatlarını okuduğum zaman şaşırıyorum.,Surprise,insan ilginç hayat okumak zaman şaşırmak
yalan söylenildiğinde çok öfkelenirim,Anger,yalan söylemek çok öfke
Değer verdiğim insanların bana değer vermemesi.,Sadness,değer vermek insan değer vermek
Korku filmi izlerken korkuyorum.,Fear,korku film izlemek korkmak
Kusmuk görmek.,Disgust,kusmuk görmek
Aç olduğumda.,Anger,aç olduğumda
Bilmediği konular hakkında konuşan insanlara.,Anger,bilmek konu hak konuşmak insan
Sınavlar kolay olduğunda mutlu olurum.,Happy,sınav kolay olduğunda mutlu olurum
oda arkadaşımın ses çıkarmasından bıktım,Anger,oda arkadaş ses çıkarma bıkmak
"""Paranormal"" olaylardan korkarım.",Fear,paranormal olay korkmak
Karmaşık ve ilgi çekici bir kavram ancak bazı röportajlarda anlaşılması zor olabilir.,Neutral,karmaşık ilgi çekici kavram bazı röportaj anlaşmak zor olabilir
"Siyasi kampanyalar, seçim dönemlerinde önemli bir yer tutar.",Neutral,siyasî kampanya seçim dönem önem yer tutmak
"Komik bir şey olunca, yemek yediğimde ve sevdiklerimle vakit geçirdiğimde.",Happy,komik şey olunca yemek yediğimde sevmek vakit geçirmek
Biri bana bir şey emrettiğinde çok öfkelenirim.,Anger,şey emretmek çok öfke
Küçükken dolaptan gelen seslerden korkuyordum.,Fear,küçük dolap gelmek ses korkmak
"@spleendistanbuI Arçelik'in eski bir genel müdürünün lafı, 5 sene bir yerde çalıştıktan sonra, artık kendini geliştiremiyorsan, işine yeni birşey ekleyemiyorsan, terfi olanağın da yoksa işini değiştireceksin.",Neutral,arçelik in eski genel müdür laf sene yer çalışmak sonra kendi gelişmek iş yeni birşey eklemek terfi olanak yok iş değişmek
Karides ve deniz ürünleri birçok yemekte kullanılıyor.,Neutral,karides deniz ürün birçok yemek kullanmak
Kızım düştüğünde dudağının kanadığını görünce çok korkmuştum.,Fear,kız düşmek dudak kanamak görmek çok korkmak
Terör olaylarına.,Sadness,terör olay
Muafiyet kazandığımda çok mutlu oldum.,Happy,muafiyet kazanmak çok mutlu oldum
Bazı sınav sorularını görünce şaşırıyorum.,Surprise,bazı sınav soru görmek şaşırmak
Düşük not almak.,Sadness,düşük not almak
İzinsiz yere bir şeyim alınırsa özellikle telefonum çok öfkelenirim,Anger,izin yer şey alınmak özellikle telefon çok öfke
İlk kan aldırdığımda çok korkmuştum.,Fear,ilk kan aldırmak çok korkmak
@BanuGltekin6 İstanbul'da soğuk üstelik yağmurlu🙂,Neutral,istanbul soğuk üstelik yağmur
Turnikelerin önünde sıra olmadığını görünce şaşırıyorum.,Surprise,turnike ön sıra olmak görmek şaşırmak
"Oteli tavsiye derim, konumu personellerin ilgisi , genel olarak temizlik olarak ortalamaydı ",Neutral,otel tavsiye derim konum personel ilgi genel olarak temiz olarak ortalama
Sevdiklerimi kaybetmekten korkarım.,Fear,sevmek kaybetmek korkmak
ailemin beni dinlemeyince ve beni anlamayınca çok öfkeleniyorum.,Anger,aile dinlemek anlamak çok öfke
Etkilendiğim birinin mesaj atmasıydı,Happy,etkilemek biri mesaj atmak
kuzenim doğduğunda havalara uçtum.,Happy,kuzen doğmak hava uçtum
TEOG'dan bir yanlış çıkardığımda şaşakaldım.,Surprise,teog dan yanlış çıkarmak şaşakalmak
Antrenörümün önünde smaç vurunca havalara uçtum.,Happy,antrenör ön smaç vurmak hava uçtum
babamın bana bağıracak mı düşüncesi beni çok korkutuyor.,Fear,baba bağırmak düşünce çok korkutmak
Finaller sonrası.,Happy,final sonra
Laf atan erkekler.,Anger,laf atan erkek
Hakkımda iftira yalan dedikodu yapılması ve sözümün kesilmesinden çok öfkelenirim.,Anger,hak iftira yalan dedikodu yapmak söz kesmek çok öfke
Sınavlardan düşük not aldığımda üzülürüm.,Sadness,sınav düşük not aldığımda üzülürüm
Babam kalp krizi geçirdiği zaman çok üzüldüm.,Sadness,baba kalp kriz geçirmek zaman çok üzüldüm
ne diyim nişan yüzüğünü çengelköy sk tesisine kargolarim yakindir,Neutral,diyim nişan yüzük çengelköy sk tesis kargolarim yakin
biri bana çıkma teklifi edince,Happy,çıkmak teklif edince
Yere tüküreni görünce tiksiniyorum.,Disgust,yer tükürmek görmek tiksinmek
Benim yapmayacağımı bildikleri halde yaptığımı sanmaları.,Anger,ben yapmak bilmek hal yapmak sanmak
Pisuvarda dışkı gördüğümde şaşırmıştım.,Surprise,pisuvar dışkı görmek şaşırmak
Yemekten kıl çıkması.,Disgust,yemek kıl çıkmak
Yük geç geldi ve Single çift kişilik yatak aldı iki vatandaş bilişim teknolojisine sığmaz Unity bunu beğenmese bile.,Neutral,yük geç gelmek single çift kişilik yatak aldı iki vatandaş bilişim teknoloji sığmak unity bu beğenmek bile
İstemediğim bir şey ısrarla yapıldığı zaman.,Anger,istemek şey ısrar yapmak zaman
Haksızlık yapılmasına.,Anger,hak yapmak
Çikolata yediğim an.,Happy,çikolata yediğim an
Kötü haber duyduğum zaman üzülüyorum.,Sadness,kötü haber duymak zaman üzülüyorum
Çoraplarım eksilmekte idi.Köpeğim Şımarık'ın çorapları sakladığını öğrenince çok şaşırdım.,Surprise,çorap eksilmek idi köpek şımarık ın çorap saklamak öğrenmek çok şaşırmak
Eşyamın çalınması ve biranın köpürmesi.,Anger,eşya çalmak bira köpürmek
Otobüste arkadaşımın kusmasından tiksindim.,Disgust,otobüs arkadaş kusmak tiksinmek
Ailemi kaybetmekten korkarım.,Fear,aile kaybetmek korkmak
Oyunculuklar ve konsept tatmin ediciydi ama karakter gelişimleri eksikti.,Neutral,oyun konsept tatmin ediciydi karakter gelişim eksik
Kızlara laf atan erkeklere.,Anger,kız laf atan erkek
Yılanı boynuma aldığım zaman.,Fear,yılan boyun aldığım zaman
Geceleri garip sesler duyduğumda.,Fear,gece garip ses duymak
Çevremde temizliğe özen göstermeyen insanlardan.,Disgust,çevre temiz özen göstermek insan
okul bittiğinde sevinirim.,Happy,okul bitmek sevinmek
Ülkemizdeki terör olaylarına üzülüyorum.,Sadness,ülke terör olay üzülüyorum
The Lion King animasyonunun yanı sıra duygusal derinliğiyle önemli bir film. Ancak bazıları için çocuksu gelebilir.,Neutral,the lion king animasyon yan sıra duygu derinlik önem film bazı çocuk gelmek
El ile  yemek yiyen insanlardan.,Disgust,el yemek yiyen insan
Eve gelirken iki sokak köpeği saldırmıştı.,Fear,ev gelir iki sokak köpek saldırmak
Haksız olduklarını bildikleri halde özür dilemeyen insanlara sinirleniyorum.,Anger,hak olduklarını bilmek hal özür dilemek insan sinirlenmek
Ani bir ses duyduğumda.,Fear,ani ses duymak
Instagram hikayelerimde güldür güldür show yaptım…,Neutral,ınstagram hikâye güldür güldür show yapmak
Sevgilimden ayrıldığım gün.,Sadness,sevgilimden ayrıldığım gün
kızların nazik olmasından tiksiniyorum,Disgust,kız nazik olmak tiksinmek
inandığım insanların ikiyüzlülüğünü görünce çok şaşırdım,Surprise,inanmak insan ikiyüzlü görmek çok şaşırmak
Küçük böceklerden.,Disgust,küçük böcekler
askerde olan oğlumu karşımda görünce çok şaşırdım,Surprise,asker olan oğlumu karşı görmek çok şaşırmak
Bütün taciz ya da tecavüz haberleri beni tiksindiriyor.,Disgust,taciz tecavüz haber tiksinmek
İlium Müzesi Çanakkale İli Merkez İlçesi Tevfikiye Mezrası sınırları içerisinde yer alacaktır.,Neutral,ilium müze çanakkale il merkez ilçe tevfikiye mezra sınır içeri yer alacaktır
Devlete avukat olarak atandığımda çok mutlu olmuştum.,Happy,devlet avukat olarak atamak çok mutlu olmak
Hak ettiğimi alamadığım zaman.,Anger,hak ettiğimi alamadığım zaman
İlk sınavlara deli gibi çalışırken ikinci sınavlara hiç çalışmadan yüksek not aldığımda şaşırdım.,Surprise,ilk sınav deli çalışmak ikinci sınav hiç çalışmak yüksek not aldığımda şaşırmak
Değişik yeteneği olan insanları/ hayvanları görünce şaşırıyorum.,Surprise,değişik yetenek olan insan hayvan görmek şaşırmak
Büyük dedem öldüğünde çok üzüldüm.,Sadness,büyük dede öldüğünde çok üzüldüm
Otobüslerde sıkıştırıldığım zaman.,Anger,otobüs sıkışmak zaman
Cesüryürek ya da Gladiator gibi filmlere benzemeye çalışmış.,Neutral,cesüryürek gladiator film benzemek çalışmak
Olmaması gereken şeyler başıma gelince şaşırırım,Surprise,olmak gerekmek şey baş gelmek şaşırmak
Boğulma tehlikesi atlattığımda çok korkmuştum,Fear,boğmak tehlike atlamak çok korkmak
"""Kalite ve lezzet açısından yüksek beklentilerim yok. Paketleme iyi servis edilmemişti bu noktada kutuda biraz dana sevgisi vardı. Tanrıya şükür hiçbir hasar yoktu. Hasar olması normaldir.""",Neutral,kalite lezzet açı yüksek beklenti yok paketlemek iyi servis edilmemişti nokta kutu dana sevgi var tanrıya şükür hasar yok hasar olmak normal
Küçükken rüyamda annem ve babamın boşandığını görmek korkutmuştu.,Fear,küçük rüya anne baba boşamak görmek korkutmak
Geçen sene düştüğümde ayağımı kırdığımı sanmıştım.,Fear,geçen sene düşmek ayak kırmak sanmak
Ofis çalışanlarının amirlerine yalakalık yoluyla diğerlerine üstünlük sağlamalarından tiksiniyorum.,Disgust,ofis çalışmak amir yalaka yol diğer üstün sağlamak tiksinmek
Okulda yaşamadığım her olaydan mutlu olurum.,Happy,okul yaşamak olay mutlu olurum
Dedemin öldüğü gün.,Sadness,dede öldüğü gün
sokak hayvanlarına yapılan çirkin muamele beni çileden çıkartıyor,Anger,sokak hayvan yapmak çirkin muamele çile çıkarmak
Kedim kaybolunca.,Sadness,kedi kaybolmak
Evimize hırsız girdiği zaman çok korkmuştum.,Fear,ev hırsız girmek zaman çok korkmak
Ödev verildiğinde korkarım.,Fear,ödev vermek korkmak
Yağlı bulaşık gördüğümde.,Disgust,yağ bulaşık görmek
Galatasaray UEFA kupasını kazandığı zaman.,Happy,galatasaray uefa kupasını kazanmak zaman
Yüksek not almak.,Happy,yüksek not almak
Hiç beklemediğim kişiler sevgili olduklarında.,Surprise,hiç beklemek kişi sevgili olduklarında
emek harcayıp da karşılığını alamadığım zaman üzülürüm,Sadness,emek harcamak karşılık alamadığım zaman üzülürüm
İzlediğim ve beğendiğim filmin sonunun beklediğim gibi çıkmamasına şaşırdım.,Surprise,izlemek beğenmek film son beklemek çıkmak şaşırmak
Arkadaşlarımla paten sürerken.,Happy,arkadaş paten sürmek
Kartezyen çarpım fena değil,Neutral,kartezyen çarpı fena değil
Sınavdan iyi not almam.,Happy,sınav iyi not almak
Tartışmalarda kişilerin üste çıkıp haklı duruma geçmeye çalışması.,Anger,tartışmak kişi üst çıkmak hak durum geçmek çalışmak
"Yarışlara katılan ve bu konuda kendini geliştirmeyi hedefleyen bir yüzücü olarak, dizimde kemik tümörü olduğunu ve spor'dan uzak durmam gerektiğini öğrendiğimde üzülmüştüm.",Sadness,yarış katılmak konu kendi gelişmek hedeflemek yüzmek olarak dizi kemik tümör olduğunu spor dan uzak durmak gerekmek öğrenmek üzülmüştüm
Sevgilim yanımdayken.,Happy,sevgili yan
@arassln @ayfooo91 @beyzaladytigers Seninkinde biber yoktu bide domates püresi de yoktu yani bu şey gibi mng kargo değilde nmg kargo gibi .s,Neutral,sen biber yok bide domates püre yok şey mng kargo değilde nmg kargo
